ventana,frecuencia_fft
0,59.71674963944073
1,59.82016651723624
2,59.75603519953324
3,59.8328969241635
4,59.7842641529429
5,59.78647209164837
6,59.803905524720726
7,59.78157201502547
8,59.798505845527295
9,59.80145581213406
10,59.805608969296536
11,59.78972490710855
12,59.79382745629823
13,59.78510422427155
14,59.79240690114877
15,59.80549480913258
16,59.80212761202022
17,59.78701569526503
18,59.78925542241139
19,59.79073850762541
20,59.80078892294609
21,59.790327413910106
22,59.79989785368497
23,59.795938822269044
24,59.794007096152356
25,59.79581620054321
26,59.79123215038318
27,59.781235831130644
28,59.78053977035106
29,59.794898448682375
30,59.791681919978394
31,59.80600089489698
32,59.779744568549866
33,59.803536782168855
34,59.79151503153066
35,59.79260326978409
36,59.79121461836077
37,59.80044283953942
38,59.797617614579615
39,59.79071838329312
40,59.82844822045284
41,59.76286316821062
42,59.80946836669484
43,59.75905824847908
44,59.786962170474624
45,59.79241301124888
46,59.79574185422365
47,59.756509676769454
48,59.82855607371771
49,59.759624455043955
50,59.78870400221783
51,59.796876702177535
52,59.81364060275122
53,59.78078945356492
54,59.79654608929748
55,59.7705566147051
56,59.809873818465036
57,59.8038287819245
58,59.8085932733883
59,59.74997070254638
60,59.79583185858406
61,59.793400420847874
62,59.809601633633186
63,59.79009761142807
64,59.77941309363611
65,59.77971519442039
66,59.80848676415699
67,59.78995605515894
68,59.79593388246728
69,59.7478095359823
70,59.79278061908958
71,59.79523979900197
72,59.77276299987637
73,59.808682854746664
74,59.784668161349636
75,59.79486427470112
76,59.77842561628952
77,59.80462355814847
78,59.74940055658339
79,59.83446166816821
80,59.786233079232424
81,59.78989623738109
82,59.77111322831852
83,59.77413055730984
84,59.79611915547368
85,59.81456210250441
86,59.778705896293765
87,59.77925779054204
88,59.81299829712565
89,59.785217327775655
90,59.783437444925525
91,59.78471135223023
92,59.7825141892896
93,59.78690822461224
94,59.782739312835034
95,59.77832827771491
96,59.791814287305996
97,59.80721790170597
98,59.776854538428324
99,59.786505041224814
100,59.780145370589764
101,59.78753368165605
102,59.79484505568583
103,59.78050533866781
104,59.78168999357346
105,59.786096080939615
106,59.755432403509346
107,59.82496228156424
108,59.78724870003674
109,59.774989616821806
110,59.797118474049064
111,59.78635675435613
112,59.78013656980767
113,59.77243328727902
114,59.815178993389424
115,59.79015400988052
116,59.79229338771259
117,59.75152627065485
118,59.790470230018514
119,59.77927772068496
120,59.79451611239112
121,59.7714838360724
122,59.774472987802845
123,59.78491029859936
124,59.77188195329288
125,59.82243976242188
126,59.740297368947836
127,59.777469216628674
128,59.78869042188188
129,59.786027735606496
130,59.778595091365794
131,59.77658194837302
132,59.79335738116587
133,59.78075617456175
134,59.77477529076871
135,59.76998717851827
136,59.791414540346906
137,59.781839827989884
138,59.78399498795789
139,59.790941253561584
140,59.77562612013058
141,59.76921656236641
142,59.78664446548802
143,59.78648678764066
144,59.7690398346661
145,59.77341348763499
146,59.77215265549141
147,59.78601928870448
148,59.78052428290752
149,59.76766390464749
150,59.78597083576373
151,59.813594081938255
152,59.74219451607477
153,59.77183997197511
154,59.76032185513026
155,59.7790532702197
156,59.78154696899433
157,59.791987615399236
158,59.77996581255009
159,59.77640052541432
160,59.77959847863078
161,59.799161057765986
162,59.788446677783675
163,59.73555461172268
164,59.805676693963534
165,59.786800507688106
166,59.785533287388674
167,59.79161107434753
168,59.76883529106869
169,59.78461105543542
170,59.772530534596264
171,59.78586875876435
172,59.78838571773149
173,59.78324271658002
174,59.776084449950375
175,59.79002674947319
176,59.775424408323644
177,59.7809435997996
178,59.77387504311751
179,59.77643276180834
180,59.79011181623856
181,59.764513053759266
182,59.80541700129078
183,59.768236353897294
184,59.79927620163736
185,59.779444549496965
186,59.78351770202296
187,59.78044231948185
188,59.78184678972712
189,59.76059423629618
190,59.79364096643403
191,59.756759400107285
192,59.81958316887491
193,59.79274886459508
194,59.774781919080276
195,59.772411654314865
196,59.78391166495997
197,59.79393150885099
198,59.78820499915537
199,59.784479530373915
200,59.75600907017023
201,59.80701748186162
202,59.754729011575094
203,59.78823527919346
204,59.77918531743361
205,59.77614097904017
206,59.79260040800184
207,59.78304775668804
208,59.78788481200594
209,59.783652969619546
210,59.79528861068631
211,59.745230222128626
212,59.79793184387625
213,59.78397829322606
214,59.77737244611201
215,59.792645637394926
216,59.786770756693706
217,59.794763487276626
218,59.789263940094465
219,59.7843571134472
220,59.75447782636986
221,59.81566631404035
222,59.78233348112037
223,59.78436499241669
224,59.79362356430247
225,59.78776934111179
226,59.7918527127531
227,59.7859439022609
228,59.75962690143551
229,59.806983095665174
230,59.776057025745644
231,59.78354353293371
232,59.79083680202326
233,59.7879047616746
